# This mapping file is used by process_dr_ropeless_trees.sh to map filename prefixes to human readable vegetation names
# Format:
#     Original filename prefix |
#     Category title (category.txt) |
#     Title (info.txt) |
#     Description (info.txt) |
#     Destination folder name (library path) |
#     Destination category folder name

AESCUbuck|Aesculus (Horse Chestnut / Buckeye)|Tree, Aesculus, Glabra (Buckeye)|Aesculus (Buckeye) tree|aesculus/1|aesculus
SHcact4|Agave|Succulent, Agave, flowering|Flowering Agave succulent|agave/2|agave
SHRUBcreosote|Larrea (Creosote)|Shrub, Larrea (Creosote)|Larrea (Creosote) shrub|larrea/1|larrea
SHRUBocotillo|Fouquieria (Ocotillo)|Shrub, Fouquieria (Ocotillo)|Fouquieria (Ocotillo) shrub|fouquieria/1|fouquieria
TAMARACK|Larix (Larch)|Tree, Larix, Laricina (Tamarack)|Larix Laricina (Tamarack) tree|larix/2|larix
TAXObaldcypr|Taxodium (Cypress)|Tree, Taxodium, Distichum (Bald Cypress)|Taxodium Distichum (Bald Cypress) tree|taxodium/1|taxodium
Trunk|Dead|Tree, dead|Dead tree|dead/3|dead
ULMUSameri|Ulmus (Elm)|Tree, Ulmus, Americana (American Elm)|Ulmus Americana (American Elm) tree|ulmus/1|ulmus
WILLOW|Salix (Willow)|Tree, Salix (Willow)|Salix (Willow) tree|salix/3|salix
WILLOW_m|Salix (Willow)|Tree, Salix (Willow)|Salix (Willow) tree|salix/4|salix
YUCCA_s|Yucca|Shrub, Yucca|Yucca shrub|yucca/1|yucca
YUCCA1|Yucca|Shrub, Yucca|Yucca shrub|yucca/2|yucca
YUCCA2|Yucca|Shrub, Yucca|Yucca shrub|yucca/3|yucca
YUCCA3|Yucca|Shrub, Yucca|Yucca shrub|yucca/4|yucca
YUCCAjosh1|Yucca|Tree, Yucca, Brevifolia (Joshua Tree)|Yucca Brevifolia (Joshua Tree)|yucca/5|yucca
YUCCAjosh2|Yucca|Tree, Yucca, Brevifolia (Joshua Tree)|Yucca Brevifolia (Joshua Tree)|yucca/6|yucca
